Geschlecht;Groesse;Alter;Gewicht;Betaetigung;Einordnung
w;153;50;60;Ausdauersport;Normalgewicht
w;151;39;91;keinSport;Uebergewicht
w;148;50;45;Ausdauersport;Untergewicht
m;165;25;55;Ausdauersport;Untergewicht
m;166;21;65;keinSport;Normalgewicht
m;157;38;45;Ausdauersport;Normalgewicht
m;158;23;47;Ausdauersport;Untergewicht
m;158;43;83;keinSport;Uebergewicht
w;156;27;46;keinSport;Untergewicht
w;158;43;101;keinSport;Uebergewicht
w;154;50;58;keinSport;Normalgewicht
m;155;52;55;Ausdauersport;Normalgewicht
w;144;44;47;Kraftsport;Normalgewicht
m;159;63;64;Ausdauersport;Normalgewicht
w;150;67;106;Kraftsport;Uebergewicht
w;154;45;48;keinSport;Untergewicht
w;152;57;65;Kraftsport;Normalgewicht
m;167;52;65;keinSport;Normalgewicht
m;163;66;62;keinSport;Untergewicht
w;158;48;50;keinSport;Untergewicht
w;153;39;88;keinSport;Uebergewicht
w;151;40;48;keinSport;Normalgewicht
m;170;58;71;Kraftsport;Normalgewicht
m;162;31;42;keinSport;Untergewicht
w;152;51;64;keinSport;Uebergewicht
m;161;39;45;Ausdauersport;Untergewicht
w;147;24;61;Ausdauersport;Normalgewicht
m;168;51;51;Ausdauersport;Normalgewicht
m;165;55;51;keinSport;Untergewicht
m;161;21;89;keinSport;Uebergewicht
m;159;55;56;Ausdauersport;Normalgewicht
w;151;54;61;keinSport;Uebergewicht
w;153;30;59;keinSport;Uebergewicht
w;153;62;52;Kraftsport;Untergewicht
m;169;58;100;Kraftsport;Uebergewicht
w;150;43;83;keinSport;Uebergewicht
m;161;40;85;Ausdauersport;Uebergewicht
w;142;81;46;Kraftsport;Normalgewicht
w;160;68;74;Kraftsport;Normalgewicht
m;160;53;82;keinSport;Uebergewicht
w;159;50;64;keinSport;Normalgewicht
m;154;23;65;keinSport;Uebergewicht
w;155;23;47;Kraftsport;Normalgewicht
m;166;64;87;Ausdauersport;Uebergewicht
w;150;56;50;Ausdauersport;Normalgewicht
w;149;53;54;Kraftsport;Normalgewicht
m;164;18;114;keinSport;Uebergewicht
m;165;26;60;Kraftsport;Normalgewicht
w;148;47;64;keinSport;Uebergewicht
w;152;49;71;keinSport;Uebergewicht
w;152;18;62;keinSport;Uebergewicht
w;158;62;77;keinSport;Uebergewicht
m;168;69;93;keinSport;Uebergewicht
w;153;24;66;Ausdauersport;Normalgewicht
w;157;45;68;keinSport;Uebergewicht
w;149;57;54;keinSport;Normalgewicht
w;150;27;59;Ausdauersport;Normalgewicht
w;151;35;59;keinSport;Uebergewicht
m;155;59;53;keinSport;Untergewicht
m;172;55;64;Kraftsport;Untergewicht
w;151;45;59;Ausdauersport;Normalgewicht
w;146;63;57;keinSport;Normalgewicht
m;167;67;66;keinSport;Untergewicht
m;153;46;51;Ausdauersport;Untergewicht
w;153;29;60;keinSport;Uebergewicht
m;158;49;84;keinSport;Uebergewicht
w;150;50;61;keinSport;Normalgewicht
m;155;64;64;keinSport;Normalgewicht
m;159;56;66;keinSport;Normalgewicht
w;153;50;52;Ausdauersport;Normalgewicht
w;164;34;126;keinSport;Uebergewicht
m;164;45;57;keinSport;Untergewicht
w;161;21;47;keinSport;Untergewicht
m;166;51;48;keinSport;Untergewicht
m;164;83;55;Ausdauersport;Normalgewicht
w;142;66;45;keinSport;Untergewicht
m;159;27;69;keinSport;Uebergewicht
w;143;55;54;keinSport;Normalgewicht
w;157;75;63;Kraftsport;Normalgewicht
w;149;72;58;Ausdauersport;Normalgewicht
m;161;42;76;keinSport;Uebergewicht
w;152;63;45;keinSport;Untergewicht
w;151;68;94;keinSport;Uebergewicht
w;145;40;65;keinSport;Uebergewicht
w;145;39;106;Kraftsport;Uebergewicht
m;163;51;93;Kraftsport;Uebergewicht
m;145;42;52;keinSport;Normalgewicht
w;153;32;66;Kraftsport;Normalgewicht
m;153;82;49;keinSport;Untergewicht
w;157;26;63;Ausdauersport;Normalgewicht
m;153;59;67;keinSport;Normalgewicht
m;169;22;56;Ausdauersport;Normalgewicht
w;155;29;114;keinSport;Uebergewicht
w;158;62;69;Ausdauersport;Normalgewicht
m;173;63;79;keinSport;Normalgewicht
m;171;24;78;Ausdauersport;Normalgewicht
m;164;62;119;keinSport;Uebergewicht
m;166;40;59;keinSport;Untergewicht
m;158;66;73;Kraftsport;Normalgewicht
w;158;61;81;Ausdauersport;Uebergewicht
w;153;47;70;keinSport;Uebergewicht
m;164;62;73;keinSport;Normalgewicht
m;162;78;119;Ausdauersport;Uebergewicht
w;150;36;111;keinSport;Uebergewicht
w;156;58;54;Ausdauersport;Normalgewicht
m;150;60;61;Ausdauersport;Normalgewicht
w;148;44;63;keinSport;Uebergewicht
m;167;51;82;Ausdauersport;Normalgewicht
m;162;28;72;keinSport;Uebergewicht
w;148;42;58;Ausdauersport;Normalgewicht
m;161;39;87;Ausdauersport;Uebergewicht
w;149;54;73;keinSport;Uebergewicht
m;159;31;46;keinSport;Untergewicht
w;152;45;67;Ausdauersport;Normalgewicht
w;157;26;99;keinSport;Uebergewicht
m;166;61;72;keinSport;Normalgewicht
w;145;52;54;keinSport;Normalgewicht
w;144;73;68;keinSport;Uebergewicht
w;144;32;48;keinSport;Normalgewicht
w;158;46;60;keinSport;Normalgewicht
w;150;23;101;keinSport;Uebergewicht
w;151;33;47;keinSport;Normalgewicht
w;157;74;65;Ausdauersport;Normalgewicht
w;157;41;51;keinSport;Untergewicht
w;150;37;55;keinSport;Normalgewicht
m;157;42;123;keinSport;Uebergewicht
m;154;58;57;keinSport;Normalgewicht
m;166;69;79;Kraftsport;Normalgewicht
m;153;52;67;keinSport;Uebergewicht
w;144;38;58;keinSport;Uebergewicht
w;157;31;67;keinSport;Uebergewicht
w;148;70;45;keinSport;Untergewicht
m;158;59;77;Kraftsport;Normalgewicht
w;156;19;43;keinSport;Untergewicht
m;153;74;60;Ausdauersport;Normalgewicht
w;161;37;69;Ausdauersport;Uebergewicht
w;152;40;47;keinSport;Untergewicht
w;149;18;50;Ausdauersport;Normalgewicht
m;151;55;72;keinSport;Uebergewicht
m;151;86;48;Ausdauersport;Untergewicht
w;147;65;56;keinSport;Normalgewicht
m;152;49;71;keinSport;Uebergewicht
w;155;47;82;keinSport;Uebergewicht
m;166;32;125;Kraftsport;Uebergewicht
w;155;19;73;keinSport;Uebergewicht
m;173;48;85;Ausdauersport;Normalgewicht
m;166;57;130;keinSport;Uebergewicht
w;144;46;50;keinSport;Normalgewicht
w;150;26;56;Kraftsport;Normalgewicht
w;155;27;94;keinSport;Uebergewicht
w;158;44;72;keinSport;Uebergewicht
w;160;45;117;Kraftsport;Uebergewicht
m;165;57;52;Ausdauersport;Untergewicht
m;166;34;125;Kraftsport;Uebergewicht
w;152;51;57;Ausdauersport;Normalgewicht
m;158;55;40;Ausdauersport;Untergewicht
w;153;74;57;Kraftsport;Normalgewicht
w;153;63;63;keinSport;Normalgewicht
w;150;25;52;Ausdauersport;Normalgewicht
w;150;35;90;keinSport;Uebergewicht
m;159;31;55;keinSport;Normalgewicht
w;160;24;61;Ausdauersport;Normalgewicht
w;150;69;92;keinSport;Uebergewicht
w;153;84;70;keinSport;Normalgewicht
m;156;45;73;keinSport;Uebergewicht
m;163;49;62;keinSport;Normalgewicht
m;151;69;75;Kraftsport;Uebergewicht
m;161;78;54;Ausdauersport;Untergewicht
w;160;48;66;Ausdauersport;Normalgewicht
w;150;19;111;keinSport;Uebergewicht
m;157;34;119;keinSport;Uebergewicht
m;163;34;68;keinSport;Normalgewicht
w;159;40;49;keinSport;Untergewicht
m;160;29;51;Ausdauersport;Normalgewicht
m;159;69;131;keinSport;Uebergewicht
m;168;49;53;keinSport;Untergewicht
w;162;50;77;Kraftsport;Normalgewicht
w;157;74;62;Ausdauersport;Normalgewicht
w;152;59;63;Ausdauersport;Normalgewicht
w;153;33;61;Ausdauersport;Normalgewicht
w;150;68;68;keinSport;Uebergewicht
w;153;55;92;Kraftsport;Uebergewicht
w;148;57;58;keinSport;Normalgewicht
w;159;45;49;keinSport;Untergewicht
m;170;46;53;keinSport;Untergewicht
m;160;26;68;keinSport;Uebergewicht
m;149;50;71;Ausdauersport;Uebergewicht
w;155;21;45;Ausdauersport;Normalgewicht
m;163;39;69;keinSport;Normalgewicht
m;172;38;104;Ausdauersport;Uebergewicht
m;164;47;57;keinSport;Untergewicht
m;163;29;71;Ausdauersport;Normalgewicht
m;164;39;65;keinSport;Normalgewicht
w;151;43;39;keinSport;Untergewicht
w;159;53;72;keinSport;Uebergewicht
w;149;56;44;keinSport;Untergewicht
m;168;20;46;keinSport;Untergewicht
m;157;43;77;keinSport;Uebergewicht
m;159;48;57;keinSport;Untergewicht
m;167;54;83;keinSport;Uebergewicht
w;147;64;74;keinSport;Uebergewicht
m;149;28;63;Kraftsport;Normalgewicht
w;160;74;81;Ausdauersport;Uebergewicht
m;170;29;70;keinSport;Normalgewicht
m;160;65;70;keinSport;Normalgewicht
m;158;43;65;keinSport;Normalgewicht
w;150;53;45;keinSport;Untergewicht
w;145;22;53;keinSport;Uebergewicht
m;159;53;47;keinSport;Untergewicht
m;160;46;63;Ausdauersport;Normalgewicht
m;166;26;111;Ausdauersport;Uebergewicht
m;171;45;58;Ausdauersport;Untergewicht
m;163;47;53;Ausdauersport;Normalgewicht
w;150;25;52;keinSport;Normalgewicht
m;174;20;58;keinSport;Untergewicht
w;152;71;60;Ausdauersport;Normalgewicht
w;164;43;39;keinSport;Untergewicht
w;154;39;53;Ausdauersport;Normalgewicht
w;152;22;47;Ausdauersport;Normalgewicht
w;154;54;78;keinSport;Uebergewicht
w;151;44;50;Ausdauersport;Normalgewicht
w;161;49;57;keinSport;Untergewicht
m;171;38;111;Kraftsport;Uebergewicht
m;157;23;47;Ausdauersport;Normalgewicht
m;163;51;94;keinSport;Uebergewicht
m;155;42;55;Ausdauersport;Normalgewicht
w;150;25;46;keinSport;Normalgewicht
w;147;63;68;Kraftsport;Uebergewicht
m;160;45;66;Ausdauersport;Normalgewicht
m;168;49;57;keinSport;Untergewicht
m;166;52;132;Kraftsport;Uebergewicht
m;166;33;62;keinSport;Normalgewicht
w;150;31;111;keinSport;Uebergewicht
m;158;65;57;keinSport;Untergewicht
m;155;39;60;keinSport;Normalgewicht
m;165;57;82;Kraftsport;Uebergewicht
m;172;56;62;keinSport;Untergewicht
w;145;37;35;keinSport;Untergewicht
w;150;73;64;keinSport;Normalgewicht
w;153;63;60;keinSport;Normalgewicht
w;154;23;55;keinSport;Normalgewicht
w;146;39;77;Kraftsport;Uebergewicht
m;163;75;70;Ausdauersport;Normalgewicht
m;165;71;59;keinSport;Untergewicht
w;145;45;113;keinSport;Uebergewicht
m;167;31;58;Ausdauersport;Untergewicht
m;172;50;76;Kraftsport;Normalgewicht
w;153;58;68;Kraftsport;Normalgewicht
m;159;30;40;Ausdauersport;Untergewicht
w;150;60;50;keinSport;Untergewicht
m;156;31;81;keinSport;Uebergewicht
m;164;30;47;Ausdauersport;Normalgewicht
w;148;46;54;keinSport;Normalgewicht
w;149;46;46;keinSport;Untergewicht
w;152;72;84;Kraftsport;Uebergewicht
m;163;42;78;Ausdauersport;Normalgewicht
m;156;23;65;Ausdauersport;Normalgewicht
w;152;49;66;keinSport;Uebergewicht
m;176;41;62;keinSport;Untergewicht
w;150;51;55;Ausdauersport;Normalgewicht
m;163;27;102;Ausdauersport;Uebergewicht
w;152;49;45;Ausdauersport;Normalgewicht
w;155;73;64;Kraftsport;Normalgewicht
m;174;31;72;Ausdauersport;Normalgewicht
w;156;47;65;Ausdauersport;Normalgewicht
m;178;38;64;keinSport;Untergewicht
w;160;74;64;Ausdauersport;Normalgewicht
w;148;29;37;Ausdauersport;Untergewicht
m;169;56;85;Ausdauersport;Normalgewicht
m;167;56;114;keinSport;Uebergewicht
w;144;50;64;Kraftsport;Normalgewicht
m;162;57;47;Ausdauersport;Normalgewicht
m;144;60;62;keinSport;Uebergewicht
w;149;56;54;keinSport;Normalgewicht
w;145;47;55;keinSport;Normalgewicht
w;157;22;54;keinSport;Normalgewicht
w;150;38;72;keinSport;Uebergewicht
w;149;65;60;keinSport;Normalgewicht
m;164;74;49;Ausdauersport;Normalgewicht
w;157;35;51;Kraftsport;Untergewicht
w;155;37;55;Kraftsport;Normalgewicht
w;148;42;62;keinSport;Uebergewicht
w;154;30;38;keinSport;Untergewicht
w;155;43;46;Ausdauersport;Normalgewicht
m;169;46;67;Kraftsport;Normalgewicht
w;169;65;71;Kraftsport;Untergewicht
m;159;64;81;Kraftsport;Normalgewicht
m;150;36;57;Ausdauersport;Normalgewicht
m;152;30;52;keinSport;Normalgewicht
m;146;56;90;keinSport;Uebergewicht
m;155;58;61;keinSport;Normalgewicht
w;145;35;78;keinSport;Uebergewicht
w;176;29;72;Kraftsport;Normalgewicht
m;171;34;58;keinSport;Untergewicht
m;161;69;127;Kraftsport;Uebergewicht
m;166;44;56;Kraftsport;Untergewicht
m;163;54;126;keinSport;Uebergewicht
w;152;49;65;Ausdauersport;Normalgewicht
w;145;48;44;Ausdauersport;Untergewicht
w;145;81;64;keinSport;Uebergewicht
w;145;57;52;keinSport;Normalgewicht
m;154;18;61;Ausdauersport;Normalgewicht
w;149;22;60;Ausdauersport;Normalgewicht
w;153;49;52;Ausdauersport;Normalgewicht
w;144;45;105;keinSport;Uebergewicht
w;148;25;39;keinSport;Untergewicht
m;165;19;69;keinSport;Uebergewicht
m;156;59;40;keinSport;Untergewicht
w;159;66;68;Ausdauersport;Normalgewicht
m;147;60;55;keinSport;Normalgewicht
m;167;33;68;Ausdauersport;Normalgewicht
m;163;69;51;keinSport;Untergewicht
w;162;19;71;keinSport;Uebergewicht
w;145;73;47;Ausdauersport;Untergewicht
w;145;23;49;keinSport;Normalgewicht
w;159;59;81;Ausdauersport;Uebergewicht
m;165;26;74;Ausdauersport;Normalgewicht
w;146;63;70;Ausdauersport;Uebergewicht
w;154;41;55;keinSport;Normalgewicht
w;156;23;81;Ausdauersport;Uebergewicht
m;160;31;71;keinSport;Uebergewicht
m;165;62;74;Ausdauersport;Normalgewicht
w;155;18;59;keinSport;Uebergewicht
w;146;56;64;keinSport;Uebergewicht
w;150;61;86;keinSport;Uebergewicht
m;167;25;51;keinSport;Untergewicht
w;148;75;55;Kraftsport;Normalgewicht
m;157;45;125;keinSport;Uebergewicht
w;159;60;67;keinSport;Normalgewicht
w;157;65;69;keinSport;Normalgewicht
w;158;69;47;Kraftsport;Untergewicht
m;151;62;62;Ausdauersport;Normalgewicht
w;150;63;75;keinSport;Uebergewicht
m;169;60;88;keinSport;Uebergewicht
m;160;24;115;Ausdauersport;Uebergewicht
m;162;44;69;Ausdauersport;Normalgewicht
m;159;18;111;keinSport;Uebergewicht
m;158;30;77;Kraftsport;Normalgewicht
m;165;52;69;Ausdauersport;Normalgewicht
m;162;77;70;Kraftsport;Normalgewicht
w;150;62;61;keinSport;Normalgewicht
m;161;51;68;keinSport;Normalgewicht
w;151;63;103;keinSport;Uebergewicht
m;152;47;51;keinSport;Untergewicht
m;151;86;44;Ausdauersport;Normalgewicht
m;163;47;75;keinSport;Uebergewicht
w;157;57;115;Kraftsport;Uebergewicht
m;171;29;52;Kraftsport;Untergewicht
m;170;45;69;keinSport;Normalgewicht
m;162;82;71;Ausdauersport;Normalgewicht
w;146;18;96;keinSport;Uebergewicht
m;167;77;64;keinSport;Untergewicht
w;152;32;62;Ausdauersport;Normalgewicht
w;160;75;81;Ausdauersport;Uebergewicht
m;165;57;59;Ausdauersport;Normalgewicht
m;170;39;78;Ausdauersport;Normalgewicht
m;153;48;112;Ausdauersport;Uebergewicht
w;158;75;60;keinSport;Untergewicht
m;144;51;50;keinSport;Normalgewicht
m;167;61;47;keinSport;Untergewicht
w;159;20;42;keinSport;Untergewicht
m;168;34;52;keinSport;Untergewicht
m;164;60;102;keinSport;Uebergewicht
m;161;45;56;Ausdauersport;Normalgewicht
w;151;47;45;keinSport;Untergewicht
w;151;29;41;keinSport;Untergewicht
m;171;44;106;keinSport;Uebergewicht
w;157;42;115;Kraftsport;Uebergewicht
m;164;40;58;keinSport;Untergewicht
w;158;28;56;keinSport;Normalgewicht
w;154;28;57;keinSport;Normalgewicht
w;149;33;64;keinSport;Uebergewicht
w;145;43;51;keinSport;Normalgewicht
m;160;63;53;keinSport;Untergewicht
m;171;73;95;keinSport;Uebergewicht
w;156;84;81;keinSport;Uebergewicht
m;157;63;71;keinSport;Normalgewicht
w;143;65;97;keinSport;Uebergewicht
m;146;65;50;keinSport;Untergewicht
w;166;70;74;keinSport;Normalgewicht
m;170;42;61;Ausdauersport;Normalgewicht
w;150;26;46;Ausdauersport;Normalgewicht
m;169;66;140;Kraftsport;Uebergewicht
m;148;28;54;Ausdauersport;Normalgewicht
w;151;29;56;keinSport;Normalgewicht
m;162;30;95;keinSport;Uebergewicht
w;148;61;65;keinSport;Uebergewicht
w;145;50;113;keinSport;Uebergewicht
m;157;61;129;Ausdauersport;Uebergewicht
w;160;30;68;Kraftsport;Normalgewicht
w;153;60;63;Ausdauersport;Normalgewicht
m;168;51;96;Ausdauersport;Uebergewicht
m;167;29;53;keinSport;Untergewicht
w;156;46;74;keinSport;Uebergewicht
w;159;22;56;Ausdauersport;Normalgewicht
m;161;21;48;keinSport;Untergewicht
m;168;51;68;keinSport;Normalgewicht
w;149;51;46;Ausdauersport;Normalgewicht
w;158;48;61;keinSport;Normalgewicht
m;164;37;68;Ausdauersport;Normalgewicht
m;160;38;73;Ausdauersport;Normalgewicht
w;147;56;52;Ausdauersport;Normalgewicht
m;161;18;68;keinSport;Uebergewicht
w;160;32;66;keinSport;Uebergewicht
m;159;37;57;Kraftsport;Normalgewicht
w;145;70;73;keinSport;Uebergewicht
w;151;29;71;Ausdauersport;Uebergewicht
